Symbol,Name
JSLHISAR.NS,JSLHISAR
JUBILANT.NS,JUBILANT
JUSTDIAL.NS,JUSTDIAL
JYOTHYLAB.NS,JYOTHYLAB
KALPATPOWR.NS,KALPATPOWR
KANSAINER.NS,KANSAINER
KIOCL.NS,KIOCL
KNRCON.NS,KNRCON
KOLTEPATIL.NS,KOLTEPATIL
KRBL.NS,KRBL
KSCL.NS,KSCL
KTKBANK.NS,KTKBANK
LAXMIMACH.NS,LAXMIMACH
LEMONTREE.NS,LEMONTREE
LINDEINDIA.NS,LINDEINDIA
LUXIND.NS,LUXIND
MAHABANK.NS,MAHABANK
MAHINDCIE.NS,MAHINDCIE
MAHLOG.NS,MAHLOG
MAHSCOOTER.NS,MAHSCOOTER
MAHSEAMLES.NS,MAHSEAMLES
MASFIN.NS,MASFIN
MAXINDIA.NS,MAXINDIA
MHRIL.NS,MHRIL
MINDACORP.NS,MINDACORP
MINDAIND.NS,MINDAIND
MMTC.NS,MMTC
MOIL.NS,MOIL
MOTILALOFS.NS,MOTILALOFS
MRPL.NS,MRPL
NBVENTURES.NS,NBVENTURES
NESCO.NS,NESCO
NETWORK18.NS,NETWORK18
NFL.NS,NFL
NH.NS,NH
NIACL.NS,NIACL
NILKAMAL.NS,NILKAMAL
OMAXE.NS,OMAXE
ORIENTCEM.NS,ORIENTCEM
ORIENTELEC.NS,ORIENTELEC
PARAGMILK.NS,PARAGMILK
PCJEWELLER.NS,PCJEWELLER
PFIZER.NS,PFIZER
PGHH.NS,PGHH
PGHL.NS,PGHL
PHILIPCARB.NS,PHILIPCARB
PNCINFRA.NS,PNCINFRA
PRAJIND.NS,PRAJIND
PRSMJOHNSN.NS,PRSMJOHNSN
PTC.NS,PTC
PVR.NS,PVR
QUESS.NS,QUESS
RAIN.NS,RAIN
RAJESHEXPO.NS,RAJESHEXPO
RALLIS.NS,RALLIS
RAYMOND.NS,RAYMOND
RCF.NS,RCF
REDINGTON.NS,REDINGTON
RELCAPITAL.NS,RELCAPITAL
RELINFRA.NS,RELINFRA
RENUKA.NS,RENUKA
REPCOHOME.NS,REPCOHOME
RHFL.NS,RHFL
RITES.NS,RITES
RKFORGE.NS,RKFORGE
RNAM.NS,RNAM
RPOWER.NS,RPOWER
RUPA.NS,RUPA
SADBHAV.NS,SADBHAV
SANOFI.NS,SANOFI
SCI.NS,SCI
SFL.NS,SFL
SHANKARA.NS,SHANKARA
SHARDACROP.NS,SHARDACROP
SHILPAMED.NS,SHILPAMED
SHK.NS,SHK
SHOPERSTOP.NS,SHOPERSTOP
SHRIRAMCIT.NS,SHRIRAMCIT
SIS.NS,SIS
SOBHA.NS,SOBHA
SONATSOFTW.NS,SONATSOFTW
SOUTHBANK.NS,SOUTHBANK
SPARC.NS,SPARC
SPTL.NS,SPTL
SREINFRA.NS,SREINFRA
SRTRANSFIN.NS,SRTRANSFIN
STAR.NS,STAR
STARCEMENT.NS,STARCEMENT
STRTECH.NS,STRTECH
SUDARSCHEM.NS,SUDARSCHEM
SUNCLAYLTD.NS,SUNCLAYLTD
SUNTECK.NS,SUNTECK
SUPRAJIT.NS,SUPRAJIT
SUVEN.NS,SUVEN
SWANENERGY.NS,SWANENERGY
SYMPHONY.NS,SYMPHONY
TAKE.NS,TAKE
TATACOFFEE.NS,TATACOFFEE
TATAGLOBAL.NS,TATAGLOBAL
TATAINVEST.NS,TATAINVEST
TCNSBRANDS.NS,TCNSBRANDS
TEAMLEASE.NS,TEAMLEASE
THOMASCOOK.NS,THOMASCOOK
THYROCARE.NS,THYROCARE
TIINDIA.NS,TIINDIA
TIMETECHNO.NS,TIMETECHNO
TNPL.NS,TNPL
TRITURBINE.NS,TRITURBINE
TTKPRESTIG.NS,TTKPRESTIG
TV18BRDCST.NS,TV18BRDCST
TVTODAY.NS,TVTODAY
UCOBANK.NS,UCOBANK
UFLEX.NS,UFLEX
UJJIVAN.NS,UJJIVAN
VAKRANGEE.NS,VAKRANGEE
VARROC.NS,VARROC
VENKEYS.NS,VENKEYS
VGUARD.NS,VGUARD
VIPIND.NS,VIPIND
VMART.NS,VMART
VRLLOG.NS,VRLLOG
VSTIND.NS,VSTIND
VTL.NS,VTL
WABAG.NS,WABAG
WELCORP.NS,WELCORP
WELSPUNIND.NS,WELSPUNIND
ZEEL.NS,ZEEL
ZENSARTECH.NS,ZENSARTECH
ZYDUSWELL.NS,ZYDUSWELL
